539570              ,Acewin Agriteck ,10,2003,10.263199999999999,27.25,30.694299999999998,12.4061,12.087899999999999,0,6.1699999999999998E-2,44.350000000000001,    ,0,0,,0,0,0,0,59.030000000000001,0,0,0.21299999999999999,9.1136999999999997,12,9.5548999999999999,0,Agricultural Products,8.8800000000000008,4,-1073442796,247
BABAFOODSM          ,Baba Agro Food ,10,1903,13.232900000000001,26.779900000000001,459.86559999999997,14.293200000000001,10.801299999999999,0,2.0272999999999999,40.329999999999998,    ,0,0,,0,0,0,0,74.799999999999997,0,0,0.108,88.660899999999998,70,159.1985,0,Agricultural Products,67,35,-1073442796,247
538921              ,Raghuvansh Agrofarms ,10,2003,11.9175,33.286200000000001,15.83,6.0351999999999997,5.0640999999999998,0,0.0053,15.210000000000001,    ,0,0,,0,0,0,0,21.100000000000001,0,0,0.47899999999999998,271.48169999999999,296,271.60090000000002,0,Agro - Others,227.80000000000001,194,-1073442796,247
535279              ,Bothra Metals & Allo ,10,2003,18.5166,11.1233,18.969999999999999,-1.6699999999999999,-0.90190000000000003,0,2.3898000000000001,0,    ,0,0,,0,0,0,0,73.590000000000003,0,0,0.19600000000000001,6.5918999999999999,6,60.5501,0,Aluminium,3.5600000000000001,3,-1073442796,247
MMPEQ               ,MMP Industries Ltd. ,10,1903,25.4026,64.833500000000001,260.64920000000001,20.371200000000002,8.0192999999999994,0,0.12529999999999999,12.359999999999999,    ,0,0,,0,0,0,0,73.840000000000003,0,14.09,1.1000000000000001,207.5393,133,178.79599999999999,0,Aluminium,81.700000000000003,44,-1073442796,247
NARMADASM           ,Narmada Agrobase ,10,2003,13.5487,10.5221,61.584899999999998,0.78839999999999999,0.58189999999999997,0,0.67269999999999996,5.5300000000000002,    ,0,0,,0,0,0,0,68.909999999999997,42.829999999999998,0,0.186,16.732600000000001,17,24.625800000000002,0,Animal/Shrimp Feed,12.35,11,-1073442796,247
GOLDSTARSM          ,Goldstar Power ,10,1903,10.698,18.0016,36.365200000000002,1.0105999999999999,0.94469999999999998,0,0.40139999999999998,5.2400000000000002,    ,0,0,,0,0,0,0,72.909999999999997,0,0,0.13500000000000001,24.444900000000001,25,32.073900000000002,0,Auto Ancl - Batteries,22.850000000000001,23,-1073442796,247
UWCSLSM             ,Ultra Wiring Connect ,10,1903,5.2035,22.680700000000002,19.878,1.0081,1.9374,0,0.39900000000000002,8.5399999999999991,    ,0,0,,0,0,0,0,73.549999999999997,0,0,0.151,13.581300000000001,27,16.656199999999998,0,Auto Ancl - Electrical,26.100000000000001,20,-1073442796,247
SINTERCOMEQ         ,Sintercom India ,10,1903,24.2028,33.481900000000003,82.737200000000001,5.4992000000000001,2.2722000000000002,0,0.29649999999999999,6.1699999999999999,    ,0,0,,0,0,0,0,13.81,1.26,0.10000000000000001,0.70399999999999996,171.71899999999999,85,194.874,0,Auto Ancl - Engine Parts,70.950000000000003,36,-1073442796,247
URAVISM             ,Uravi T and Wedge ,10,1903,5.5,38.569699999999997,35.217399999999998,2.8731,5.2240000000000002,0,0.76770000000000005,13.539999999999999,    ,0,0,,0,0,0,0,72.719999999999999,0,0,8.8999999999999996E-2,66.495000000000005,125,80.002099999999999,0,Auto Ancl - Equipment Lamp,120.90000000000001,95,-1073442796,247
543214              ,NDR Auto Components ,10,1903,5.9462999999999999,10,27.638000000000002,0.40079999999999999,0.67400000000000004,0,0,6.7400000000000002,    ,0,0,,0,0,0,0,73.189999999999998,0,0.14000000000000001,8.6310000000000002,96.152000000000001,283,96.152000000000001,0,Auto Ancl - Others,161.69999999999999,115,-1073442796,247
543065              ,SM Auto Stamping*,10,2003,14.287800000000001,10.6152,44.341900000000003,-2.6796000000000002,-1.8754999999999999,0,0.8972,0,    ,0,0,,0,0,0,0,73.120000000000005,0,0,7.4999999999999997E-2,24.289300000000001,18,34.608899999999998,0,Auto Ancl - Others,17,12,-1073442796,247
541178              ,Benara Bearings ,10,2003,17.7072,33.395200000000003,109.7932,0.72609999999999997,0.41010000000000002,0,0.6663,1.22,    ,0,0,,0,0,0,0,69.909999999999997,0,0,0.41199999999999998,19.9206,38,58.291499999999999,0,Bearings,11.25,8,-1073442796,247
539398              ,Vishal Bearings Ltd.*,10,2003,10.791,16.727399999999999,51.859299999999998,1.0200000000000001E-2,9.4999999999999998E-3,0,1.9578,5.0000000000000003E-2,    ,0,0,,0,0,0,0,70.400000000000006,0,0,0.17199999999999999,20.9345,36,44.084299999999999,0,Bearings,19.399999999999999,18,-1073442796,247
780014              ,Has Lifestyle ,10,2003,4.7541000000000002,11.7967,13.8925,-3.0499999999999999E-2,-6.4199999999999993E-2,0,6.8999999999999999E-3,0,    ,0,0,,0,56.600000000000001,0,0,68.5,0,7,0.016,35.655700000000003,75,35.0931,0,Beverage Non Alcoholic - Soft Drinks/Concn.,75,36,-1073442796,247
AURDISSM            ,Aurangabad Distiller ,10,1903,8.1999999999999993,40.4788,55.683100000000003,6.4778000000000002,7.8998999999999997,0,0.75249999999999995,19.510000000000002,    ,0,0,,0,0,0,0,74.920000000000002,0,0,0.19400000000000001,21.32,41,44.906300000000002,0,Beverages & Distilleries,26,26,-1073442796,247
542628              ,Northern Spirits*,10,2003,16.051200000000001,39.456400000000002,160.8082,3.6141000000000001,2.2515999999999998,0,0.67869999999999997,5.7000000000000002,    ,0,0,,0,0,0,0,66.959999999999994,44.799999999999997,0,0.14000000000000001,37.479500000000002,32,75.650599999999997,0,Beverages & Distilleries,23.350000000000001,15,-1073442796,247
